a_0,a_1,g,v,id
51.1275,40.4934,0,11.792,1
47.6597,58.3382,0,1.689,2
90.8113,50.4687,0,6.6633,3
61.8369,25.0506,0,26.4567,4
90.9746,98.2785,0,17.9647,5
31.0148,72.9832,0,-10.0365,6
89.8838,68.3984,0,5.463,7
43.4172,61.0887,0,10.8023,8
91.3011,96.6606,0,-9.8153,9
26.0492,80.5028,0,12.8824,10
54.8699,1.4042,0,8.0913,11
82.4845,66.8153,0,0.0939,12
0.1143,49.3578,0,15.0363,13
32.5204,87.0471,0,4.4724,14
19.1067,56.7511,0,11.8712,15
80.3179,44.797,0,36.1161,16
8.0446,32.0055,0,-13.2115,17
10.9058,55.1267,0,8.841,18
70.6561,54.7441,0,14.9129,19
96.3839,60.3186,0,-1.4583,20
58.7617,44.4989,0,1.8911,21
57.5651,29.033,0,4.3928,22
18.9391,18.673,0,-1.1024,23
47.6531,8.9824,0,0.4846,24
75.7604,87.677,0,27.0403,25
89.8173,92.3082,0,1.0981,26
54.06,39.1296,0,7.7732,27
81.1629,84.9486,0,2.2842,28
89.5039,58.9801,0,22.516,29
45.0563,66.0245,0,5.9129,30
99.6258,91.6941,0,11.1148,31
61.2783,48.6444,0,6.0063,32
63.0147,84.5078,0,10.7094,33
11.7134,22.0461,0,26.2009,34
79.4583,33.2536,0,11.8531,35
14.6358,69.7671,0,5.7842,36
4.5234,57.3866,0,20.4376,37
68.0589,2.6697,0,3.3776,38
63.5,60.6338,0,1.1504,39
37.014,98.0517,0,5.4239,40
3.6392,2.1637,0,16.2051,41
12.3895,21.0577,0,8.4496,42
80.0747,93.6969,0,20.4228,43
10.15,25.992,0,11.5023,44
22.0829,64.6926,0,6.2839,45
50.3637,3.9379,0,15.0949,46
10.0921,98.8235,0,12.9483,47
73.1598,83.8327,0,18.9506,48
91.8482,16.9425,0,-2.1776,49
5.8051,67.6202,0,-13.0487,50
84.5425,34.2313,0,9.9418,51
44.2314,17.4819,0,23.478,52
47.1625,40.9905,0,-0.8142,53
31.1446,35.7152,0,4.9847,54
