a_0,a_1,a_2,g,v,id
78.3799,30.3313,47.6597,0,-8.9196,1
50.4687,28.1838,75.5804,0,-0.931,2
61.8369,25.0506,90.9746,0,28.1246,3
90.2166,31.0148,72.9832,0,8.0319,4
89.8838,68.3984,47.2143,0,18.6062,5
61.0887,91.3011,96.6606,0,16.3109,6
47.701,86.531,26.0492,0,14.2751,7
1.4042,71.9705,39.8824,0,-1.8679,8
82.4845,66.8153,0.1143,0,-10.0931,9
24.3911,32.5204,87.0471,0,10.8112,10
19.1067,56.7511,23.8616,0,27.6566,11
44.797,8.0446,32.0055,0,6.3481,12
50.7941,93.2834,10.9058,0,-4.854,13
54.7441,81.4467,54.0284,0,5.0425,14
96.3839,60.3186,58.7617,0,-2.6723,15
38.4901,57.5651,29.033,0,14.5633,16
18.9391,18.673,61.2773,0,3.7032,17
8.9824,75.7604,87.677,0,0.5234,18
92.3381,84.246,89.8173,0,21.0442,19
39.1296,70.5283,27.5634,0,4.2041,20
81.1629,84.9486,89.5039,0,-10.6672,21
57.9695,45.0563,66.0245,0,-3.0796,22
99.6258,91.6941,79.3325,0,21.971,23
48.6444,63.0147,84.5078,0,16.8155,24
24.3036,73.1489,11.7134,0,13.2832,25
33.2536,81.5913,10.0608,0,27.4861,26
14.6358,69.7671,4.5234,0,-9.6245,27
53.4198,68.0589,2.6697,0,0.1763,28
63.5,60.6338,57.5953,0,2.545,29
98.0517,3.6392,2.1637,0,16.0725,30
96.1031,18.4972,12.3895,0,14.4039,31
93.6969,2.2783,42.5619,0,27.4138,32
10.15,25.992,22.0829,0,4.3972,33
18.0318,50.3637,3.9379,0,2.5936,34
10.0921,98.8235,19.9356,0,-0.2245,35
83.8327,91.8482,16.9425,0,22.5902,36
67.2641,96.6549,5.8051,0,1.3574,37
34.2313,25.0687,59.6791,0,-7.2835,38
44.2314,17.4819,47.1625,0,-0.952,39
50.86,31.1446,35.7152,0,16.9595,40
83.7661,25.0933,56.06,0,26.4006,41
33.5917,4.5696,28.0883,0,11.2842,42
24.013,95.3129,35.2226,0,7.7758,43
